Tue May 19 19:40:51 2026    profile

         3485717 function calls (3017295 primitive calls) in 111.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
  158/147    0.000    0.000    0.003    0.000 /usr/lib/python3.10/typing.py:306(inner)
       26    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
    12992    0.002    0.000    0.002    0.000 {method 'values' of 'dict' objects}
    13783    0.002    0.000    0.002    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/node.py:245(services)
     1962    0.002    0.000    0.002    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/functional.py:4549(_is_integer)
        4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
        4    0.002    0.001    0.002    0.001 {built-in method _imp.create_dynamic}
      238    0.001    0.000    0.002    0.000 /home/will/.local/lib/python3.10/site-packages/torch/cuda/_utils.py:557(_get_device_index)
     4916    0.002    0.000    0.002    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/subscription.py:73(handle)
     9334    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     1962    0.002    0.000    0.002    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/std_msgs/msg/_bool.py:118(data)
     3926    0.002    0.000    0.002    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/builtin_interfaces/msg/_time.py:139(nanosec)
     1977    0.002    0.000    0.002    0.000 /usr/lib/python3.10/inspect.py:277(isfunction)
     2955    0.002    0.000    0.002    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/qos_event.py:121(__exit__)
      981    0.002    0.000    0.002    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/task.py:310(_complete_task)
